id,name,tier,finalScore,baseScore,authScore,role,seniority,status,needsManualReview,outletName,outletSlug,outletTier,outletDR,competitorBacklinks,writesForCount,writesFor,beats,credentials,certifications,certificationsVerified,education,yearsInIndustry,location,linkedin,twitter,muckrack,personalSite,authorUrl,email,emailVerified,quotedInTier1,tvAppearances,authoredBooks,industryAwards,linkedinFollowers,linkedinConnections,linkedinFetchedAt,muckrackArticleCount,hasKnowledgePanel,ownedDomain,finraBrokerCheckStatus,discoveryMethod,notes,bio
dan-kemp-morningstar,Dan Kemp,S,136,95,43,Chief Research and Investment Officer — Morningstar,chief,active,,Morningstar,morningstar,T2,87,3,1,morningstar,investing; markets; mutual-funds; equity,Investment Management Certificate (IMC); Securities Institute Diploma; Advanced Financial Planning Certificate (AFPC),; ; ,n; n; n,BA Theology@King's College London,25,"London, United Kingdom",https://uk.linkedin.com/in/dan-kemp-b6779437,,,,https://www.morningstar.com/people/dan-kemp,,,Investment Week; Portfolio Adviser,,,,,,,,,,,L7 + Rule A (morningstar 403 → WebSearch recovery),,"Chief Research and Investment Officer at Morningstar. Leads the Research and Investment team comprising Morningstar's fundamental research, manager selection, and investment management activities. Joined Morningstar in 2014 as co-Head of Investment Consulting and Portfolio Management EMEA, then served as Global Chief Investment Officer for the Wealth Group before the 2024 promotion."
robyn-a-friedman,Robyn A. Friedman,S,133,94,42,"Freelance business journalist — columnist at WSJ, contributor at Kiplinger, Boston Globe",senior,active,,Kiplinger,kiplinger,T2,85,5,6,kiplinger; wsj; boston-globe; usnews; realtor; bankrate,housing; personal-finance; investing; retirement,JD,,,J.D. (law)@,20,"South Florida, USA",https://www.linkedin.com/in/robynafriedman/,,https://muckrack.com/robyn-a-friedman,https://www.robynfriedman.com/about,https://www.kiplinger.com/author/robyn-a-friedman,,,WSJ; Boston Globe,Cheddar,,,,,,,,true,,L5.5-direct + Rule A,,"Award-winning freelance business journalist with 20+ years covering real estate and personal finance. Columnist for The Wall Street Journal ('Counting House' column in Mansion section). Regular contributor to Kiplinger Personal Finance, Boston Globe, Multi-Housing News, and City & Shore magazine. Former real estate attorney (builders/developers/community associations). Silver Award, National Association of Real Estate Editors, June 2024. Featured on WSJ 'Your Money Briefing' podcast and Cheddar. Also writes/wrote for Mansion Global, Unique Homes, Robb Report, NY Post, Realtor.com, Bankrate.com, Chicago Tribune, South Florida Sun-Sentinel."
jessica-inskip,Jessica Inskip,S,132,88,50,Director of Investor Research,chief,active,,StockBrokers.com,stockbrokers,T3,60,2,1,stockbrokers,investing; stocks; options; markets; trading-education,Series 7; Series 63; Series 66; Series 4,FINRA Series 7; FINRA Series 63; FINRA Series 66; FINRA Series 4,n; n; n; n,,15,,https://www.linkedin.com/in/jessica-inskip-5301a065/,https://x.com/JessInskip_,,,https://www.stockbrokers.com/about/jessica-inskip,,,CNBC; Bloomberg; Fox Business,CNBC; Bloomberg; The Schwab Network; Fox Business; Yahoo! Finance,,,,,,,,,,,L5.5 success + Rule A confirmed LinkedIn + X + TikTok + Instagram,"Director of Investor Research at StockBrokers.com. 15+ years in retail brokerage, investor education, and trading strategy. Former registered representative with FINRA Series 7, 63, 66 and 4 licenses. Previously at Fidelity (Active Trader Desk), Merrill Edge (Senior Platform Manager, Director of Advanced Trader Strategy), and OptionsPlay (Director of Education and Product). Hosts Market MakeHer podcast. Frequent guest on CNBC, Bloomberg, The Schwab Network, Fox Business, Yahoo! Finance."
elaine-king,Elaine King,S,130,93,40,"Founder, Family and Money Matters™ Institute — CFP Board Ambassador, Investopedia Top 100 Advisor",chief,active,,Investopedia,investopedia,T1,92,6,1,investopedia,personal-finance; retirement; investing; finance,CFP; TEP; Dr. h.c.,CFP; TEP,y; n,"MBA@Thunderbird School of Global Management; BBA International Business@St. Mary's University; Postgraduate, Family Therapy@Bowen Center for the Study of the Family (Georgetown); Certified Coach (ICF)@University of Miami",20,"Miami, FL, USA",https://www.linkedin.com/in/elainekingcfp/,,,https://www.elaineking.com/,,,,Forbes,,Family and Money Matters,,,500+,2026-04-16T00:00:00Z,,,elaineking.com,,L7-websearch,,"Founder of Family and Money Matters™ Institute, CFP Board Ambassador, and member of Investopedia's Advisor Council. Named one of Investopedia's Top 10 Most Influential Financial Advisors (2023) and Forbes' 50 Most Powerful Women in Peru (2025). Has advised 1,200+ families and 100 multigenerational family enterprises. Creator of the first family financial program in Latin America and winner of the International Latino Book Awards' Best Parenting Book. Holds CFP, TEP, MBA (Thunderbird), BBA International Business (St. Mary's University), postgraduate in Family Therapy (Bowen Center/Georgetown), Certified Coach (Univ. of Miami/ICF), and Dr. h.c. (Honoris Causa). Based in Miami."
drew-limsky,Drew Limsky,S,129,91,42,Contributor — Kiplinger (Freelance Retirement Writer),contributor,active,,Kiplinger,kiplinger,T2,85,5,8,kiplinger; wsj; nyt; la-times; washington-post; boston-globe; business-insider; utah-business,retirement; personal-finance; housing; financial-journalism,PhD; JD,,,BA (summa cum laude)@Emory University; MA@American University; JD@New York University; PhD@New York University,,"Miami Beach, FL / Brooklyn, NY / Cape Cod, MA, USA",https://www.linkedin.com/in/drdrewlimsky/,,https://muckrack.com/drew-limsky,,https://www.kiplinger.com/author/drew-limsky,,,WSJ; NYT; LA Times; Washington Post; Boston Globe,,,,,500+,2026-04-16T00:00:00Z,,,,,L1 + Rule A,,"Freelance retirement writer at Kiplinger Digital. Holds BA (summa cum laude) from Emory University, MA from American University, and JD + PhD from New York University. Former editor of Lexus magazine, Cadillac magazine, South Florida Business & Wealth, Business Jet Traveler, Interiors South Florida, and Mariner (Holland America). Writing credits: Wall Street Journal, New York Times, LA Times, Washington Post, Boston Globe, Yahoo, Worth, AD, Robb Report, Metropolis, Men's Journal, Business Insider. Splits time between Miami Beach, Brooklyn, and Cape Cod."
martin-lewis-mse,Martin Lewis,S,128,90,42,Founder / Executive Chair,chief,active,,MoneySavingExpert,moneysavingexpert,T2,88,6,2,moneysavingexpert; itv,personal-finance; savings; banking; credit,CBE; OBE,,,,23,United Kingdom,,,,https://www.moneysavingexpert.com/site/martin-lewis-biography/,,,,BBC; The Times; The Guardian; ITV,ITV; Good Morning Britain; This Morning; The Martin Lewis Money Show,The Money Diet,,,,,,y,true,,L1+L7,Public figure with Wikipedia + knowledge panel. LinkedIn/Twitter intentionally null — multiple accounts exist and R11 prohibits guessing. Strongest E-E-A-T in batch (CBE + national broadcasting + 14M users).,"English campaigning journalist, broadcaster, author and charity founder. Founded MoneySavingExpert.com in February 2003 for £100; sold to Moneysupermarket.com Group in 2012 for up to £87 million and remains Executive Chair. Presenter of ITV's The Martin Lewis Money Show and regular on Good Morning Britain and This Morning since 2007. CBE (2022 New Year Honours) for services to broadcasting and consumer rights; previously OBE (2014). Chair and Founder of the Money and Mental Health Policy Institute."
andrew-thurman,Andrew Thurman,S,128,90,42,Content Lead — Nansen (former Senior Tech Correspondent — CoinDesk),senior,active,,CoinMarketCap,coinmarketcap,T1,91,6,5,coinmarketcap; coindesk; cointelegraph; blockworks; nansen,crypto; defi; blockchain; financial-journalism,,,,,,"Washington, DC, USA",https://www.linkedin.com/in/andrew-thurman-578b41162/,https://twitter.com/Blockanalia,,,https://coinmarketcap.com/academy/author/andrew-thurman,,,FT; Washington Post; WSJ; Bloomberg; Forbes; Fortune; Reuters; BBC; CNBC,,,,,,,,,,,direct_aggregate + Rule A,,"Content Lead at Nansen. Former senior technology correspondent at CoinDesk, weekend editor at Cointelegraph, head of communications at Nansen, partnership manager at Chainlink, and co-founder of a smart-contract data marketplace startup. Analysis quoted in The Financial Times, The Washington Post, The Wall Street Journal, Bloomberg, Forbes, Fortune, Reuters, BBC, CNBC. Data Editor background. Based in Washington, DC. Also contributor at Jito and CoinMarketCap Academy/Alexandria."
charles-lewis-sizemore,Charles Lewis Sizemore,S,128,85,50,"CFA — Contributor, Wealth Creation (Kiplinger); Chief Investment Officer at Sizemore Capital Management LLC",contributor,active,,Kiplinger,kiplinger,T2,85,5,8,kiplinger; forbes; marketwatch; gurufocus; seekingalpha; investing; youngandinvested; wealthup,investing; stocks; retirement; markets,CFA,CFA,n,"MSc Finance & Accounting@London School of Economics; BBA Finance (International Emphasis) — Magna Cum Laude, Phi Beta Kappa@Texas Christian University; MSc Finance and Accounting@London School of Economics; BBA Finance (International Emphasis), Magna Cum Laude, Phi Beta Kappa@Texas Christian University",20,"Dallas, Texas, USA",https://www.linkedin.com/in/charles-sizemore/,https://twitter.com/CharlesSizemore,,https://charlessizemore.com,https://www.kiplinger.com/author/charles-lewis-sizemore,,,Barron's; WSJ; Washington Post; Forbes; MarketWatch; Kiplinger,CNBC; Bloomberg TV; Fox Business News; Fox Business,,,,500+,2026-04-16T00:00:00Z,,,charlessizemore.com,,L5.5-direct + Rule A,,"Chartered Financial Analyst and Chief Investment Officer of Sizemore Capital Management LLC (Dallas, Texas), a registered investment advisor specializing in dividend-focused portfolios and alternative allocations with minimal stock market correlation. MSc Finance & Accounting, London School of Economics. BBA Finance (International Emphasis), Texas Christian University — Magna Cum Laude, Phi Beta Kappa. Frequent guest on CNBC, Bloomberg TV and Fox Business News. Quoted in Barron's, Wall Street Journal, Washington Post. Contributor to Kiplinger, Forbes, GuruFocus, MarketWatch, Young and the Invested, WealthUpdate. Former Chief Retirement Strategist at Dent Research."
kathy-lien,Kathy Lien,S,125,85,47,Managing Director of FX Strategy — BK Asset Management,chief,active,,WikiFX,wikifx,T3,68,3,4,wikifx; fxstreet; cnbc; bkassetmanagement,forex; interbank-fx; markets,,,,BSc Finance (graduated at 18)@NYU Stern School of Business,20,"New York, USA",https://www.linkedin.com/in/kathylien/,,,http://www.bkassetmanagement.com/kathy,,,,WSJ; FT; Reuters; Bloomberg; CNBC,CNBC,Day Trading and Swing Trading the Currency Market; The Little Book of Currency Trading; Millionaire Traders: How Everyday People Beat Wall Street at its Own Game,,3800,,2026-04-16T00:00:00Z,,,bkassetmanagement.com,,"L7-websearch (no authorUrl, seed via WikiFX mention) + Rule A",,"Managing Director of FX Strategy for BK Asset Management and Co-Founder of BKForex.com. Graduated NYU's Stern School of Business at age 18. 20+ years in financial markets with specific focus on currencies. Career started at JPMorgan Chase on Interbank FX trading desk and cross-markets proprietary trading. Joined FXCM in 2003 and co-founded DailyFX.com. Started BK Asset Management and BKForex in 2011 with trading partner Boris Schlossberg. CNBC Contributor; regularly quoted in WSJ, FT, Reuters, Bloomberg. Authored three books: 'Day Trading and Swing Trading the Currency Market', 'The Little Book of Currency Trading', 'Millionaire Traders: How Everyday People Beat Wall Street at its Own Game'."
dan-blystone,Dan Blystone,S,125,88,42,Broker Analyst — FXEmpire; Senior Market Analyst — Scandinavian Capital Markets,senior,active,,FXEmpire,fxempire,T2,73,2,8,fxempire; investopedia; thestreet; fxstreet; forexfactory; investing; forbes; traderslog,forex; futures; day-trading; crypto; markets,Series 3,"Series 3 (NFA — futures, options, forex)",n,BA Philosophy@College of Wooster; @The College of Wooster,27,Sweden (relocated 2019; prior Chicago),https://www.linkedin.com/in/danblystone,https://twitter.com/DanBlystone,,https://www.traderslog.com/,https://www.fxempire.com/author/danblystone,danblystone@fxempire.com,y,,,,,,,,,,true,,L5.5-direct,,"Broker Analyst at FXEmpire (since December 2019) and Senior Market Analyst at Scandinavian Capital Markets. Career started in 1998 as an arb clerk in the CME currency futures pits. Former interbank desk trader at ABN AMRO; bond futures trader at proprietary firms including Altea Trading (Eurex futures overnight); Series 3 licensed futures, options, and forex broker at Infinity Futures in Chicago. Founder of TradersLog.com (2008) and Chicago Traders Group. Technical/price-action medium-term trader. Favorite instruments: GBP/JPY, XAU/USD, BTC/USD."
blain-reinkensmeyer,Blain Reinkensmeyer,S,123,82,50,Co-Founder & Managing Partner — Reink Media Group; Head of Research — StockBrokers.com,chief,active,,StockBrokers.com,stockbrokers,T3,60,2,4,stockbrokers; forexbrokers; investor; stocktrader,stocks; broker-safety; trading-education; options; day-trading,,,,,20,"Troy, Michigan, United States",https://www.linkedin.com/in/blainreinkensmeyer/,,https://muckrack.com/blain-reinkensmeyer,https://www.reinkmedia.com/,https://www.stockbrokers.com/about/blain-reinkensmeyer,,,The New York Times; The Wall Street Journal; Forbes; Chicago Tribune; Fast Company; New York Times; Wall Street Journal,TD Ameritrade Network,The Interactive Guide to Technical Analysis,,,,,,,reinkmedia.com,,L5.5-direct + Rule A,,"Co-founder and Partner at Reink Media Group (parent of StockBrokers.com, ForexBrokers.com, investor.com, StockTrader.com) and Head of Research at StockBrokers.com. 20+ years of trading experience, with thousands of trades placed. Created the original StockBrokers.com scoring rubric in 2011 and has headed every annual review since inception. Founded StockTrader.com (educational blog, now merged into StockBrokers.com). Author of 'The Interactive Guide to Technical Analysis'. Named to Crain's Detroit Business 'Top 20 in their 20s' (2009, age 22). Quoted in NYT, WSJ, Forbes, Chicago Tribune and Fast Company. His educational articles have been read 20M+ times."
doug-boneparth,Doug Boneparth,S,118,80,47,CFP — Investopedia Advisor Council; CFP Board Ambassador (NY),contributor,active,,Investopedia,investopedia,T1,92,6,1,investopedia,personal-finance; investing; retirement; finance,CFP; AIF; MBA,CFP; AIF,n; n,MBA@,15,"New York, NY, USA",https://www.linkedin.com/in/douglasboneparth,,,,https://www.cnbc.com/douglas-a-boneparth/,,,New York Times; Wall Street Journal; CNBC,CNBC (On The Money); Nightly Business Report; ABC (World News Tonight); ABC (Good Morning America); Cheddar,,,7593,500+,2026-04-16T00:00:00Z,,,bonefidewealth.com,,,,"President and founder of Bone Fide Wealth, LLC. Became one of the youngest CERTIFIED FINANCIAL PLANNER™ professionals in the country early in his career. Member of the Investopedia Advisor Council (founding group of 25 paid contributors) and CNBC Advisor Council. CFP Board Ambassador for New York. Media source on Millennial finance — appearances on CNBC's On The Money, Nightly Business Report, ABC's World News Tonight, Good Morning America, Cheddar; quoted in New York Times and Wall Street Journal."
riley-adams,Riley Adams,S,118,81,46,Chief Editor and Writer — CompareForexBrokers; Founder/CEO Young and the Invested,editor,active,,CompareForexBrokers,compareforexbrokers,T3,69,1,4,compareforexbrokers; youngandtheinvested; due; wealthup,personal-finance; investing; taxes; crypto; forex,CPA,Certified Public Accountant (CPA),n,MSc Applied Economics and Demography@Pennsylvania State University; BA Economics@Centenary College of Louisiana; BS Business Administration and Finance@Centenary College of Louisiana,12,,https://www.linkedin.com/in/riley-adams-cpa,,,https://youngandtheinvested.com/,https://www.compareforexbrokers.com/about-us/riley-adams/,,,CNBC; Time; NBC News; HuffPost; Business Insider; MarketWatch,,,,,,,,,true,,L5.5-direct + Rule A,,"Chief Editor of CompareForexBrokers.com and Senior Financial Analyst at Google (Alphabet), leading advertising incentive programs for key partners. Licensed CPA. Founder and CEO of Young and the Invested, a personal finance platform for young investors and parents. Previously Regulatory Strategy Analyst at Entergy Corporation in New Orleans (6 yrs). Cited as authoritative source in CNBC, Time, NBC News, APM's Marketplace, HuffPost, Business Insider, NerdWallet, Investopedia, MarketWatch, Kiplinger, The Balance, Fast Company."
michael-hewson,Michael Hewson,S,117,78,50,"Senior Financial Strategist — iFOREX / Contributor — Good Money Guide (ex-Chief Market Analyst CMC Markets, 15+ yrs)",senior,active,,Good Money Guide,goodmoneyguide,T4,48,0,5,goodmoneyguide; cmcmarkets; iforex; fxempire; investing,forex; cfd; markets,MSTA; CFTe,MSTA; CFTe,n; n,,30,"London, United Kingdom",https://uk.linkedin.com/in/michael-hewson-0991432,https://x.com/mhewson_CMC,,,https://goodmoneyguide.com/author/michael-hewson/,,,Bloomberg; CNBC; BBC; CNN; Fox Business,Bloomberg; CNBC; BBC; CNN; Fox Business,,,,,,,,,,L5.5-direct + Rule A,,"Market analyst with 30+ years in financial markets, focused on both technical and fundamental analysis. Spent 16+ years at CMC Markets (10+ as Chief Market Analyst, based in London) before stepping down in 2024. Background in FX trading; before CMC spent 12+ years in market data, education and support. Now Senior Financial Strategist at iFOREX and podcast contributor / author at Good Money Guide. Regular face on Bloomberg, CNBC, BBC, CNN, Fox Business. City AM Analyst of the Year nominations (2019, 2021)."
